channel,video_id,video_title,publishedAt,comment,neg,neu,pos,compound
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,"Sono davvero impressionato, per il lavoro è veramente impressionante",0.0,1.0,0.0,0.0
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,Faranno la stessa fine dei google glass ..gli occhiali 😂😂,0.14,0.515,0.346,0.765
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,raga ma per il gaming é buono o il migliore resta il quest 3?,0.0,1.0,0.0,0.0
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,Jaki sei a 500.000!!🎉,0.0,0.604,0.396,0.508
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,A 4000 euro non potrà mai essere il futuro per tutti quanti,0.0,1.0,0.0,0.0
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,Immagino un futuro alla ready player One. Che sfiga,0.0,0.762,0.238,0.3612
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,"Posso dire che secondo me da questi video, senza averlo mai provato potrebbe essere davvero il futuro.",0.158,0.842,0.0,-0.4588
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,"Jaki,vogliamo 24 h con pro vision,anche apple vision vs meta quest 3",0.0,0.846,0.154,0.25
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,"☑Scusate l'ignoranza, ma questo visore , per utilizzarlo,  implica che uno abbia un pc Mac, vero? (cioe', solo il visore senza un pc oppure con un pc windows non funzionerebbe nulla?)❓",0.0,1.0,0.0,0.0
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,GIOCHI PURE TU A ROBLOX!? 12:22,0.0,1.0,0.0,0.0
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,Incredibile cameo della nonna XD,0.0,0.469,0.531,0.6739
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,qualcuno di voi ha visto sword art online? secondo voi sarà possibile in un futuro?,0.0,0.835,0.165,0.4137
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,"Ok, ora possiamo parlare del porno?",0.0,1.0,0.0,0.0
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,"Quando sti visori saranno della dimensione di un normale occhiale da sole o da sci, tipo Google Glass magari lo compro.",0.0,1.0,0.0,0.0
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,ma come guardi i video di youtube se non è presenta l'app?,0.0,1.0,0.0,0.0
TechDale,hfMMH1yYiok,TUTTA LA VERITÀ SU APPLE VISION PRO.,2024-02-19T17:58:06Z,"Ma dove ,i trovi i film i documentari etc?",0.0,1.0,0.0,0.0
TechDale,ZkDe9HQ56J0,A cena con APPLE VISION PRO,2024-02-08T16:09:33Z,"❌Cena con Apple vision pro
✅Cena con 9000€",0.0,0.846,0.154,0.25
TechDale,ZkDe9HQ56J0,A cena con APPLE VISION PRO,2024-02-08T16:09:33Z,Incommentabile,0.0,1.0,0.0,0.0
TechDale,ZkDe9HQ56J0,A cena con APPLE VISION PRO,2024-02-08T16:09:33Z,APPLE (DI)VISION,0.0,1.0,0.0,0.0
TechDale,ZkDe9HQ56J0,A cena con APPLE VISION PRO,2024-02-08T16:09:33Z,Che figata,0.0,1.0,0.0,0.0
TechDale,ZkDe9HQ56J0,A cena con APPLE VISION PRO,2024-02-08T16:09:33Z,"In pratica questo è il futuro che ci aspetta , immaginate un matrimonio o un battesimo al ristorante tra 50 anni , se esisteranno ancora matrimoni e battesimi",0.0,1.0,0.0,0.0
TechDale,ZkDe9HQ56J0,A cena con APPLE VISION PRO,2024-02-08T16:09:33Z,Mi mancano i vecchi tempi di come si mangiava in ristorante,0.0,1.0,0.0,0.0
