week,product,sentiment_categoria,count,total,percentage
2025-06-09,Apple Vision Pro,Positivo,6,11,54.54545454545454
2025-06-09,Meta Quest 3,Negativo,2,17,11.76470588235294
2025-06-09,Meta Quest 3,Neutro,4,17,23.52941176470588
2025-06-09,Meta Quest 3,Positivo,11,17,64.70588235294117
2025-06-16,Apple Vision Pro,Negativo,4,17,23.52941176470588
2025-06-16,Apple Vision Pro,Neutro,4,17,23.52941176470588
2025-06-16,Apple Vision Pro,Positivo,9,17,52.94117647058824
2025-06-16,Meta Quest 3,Neutro,4,12,33.33333333333333
2025-06-16,Meta Quest 3,Positivo,8,12,66.66666666666666
2025-06-23,Apple Vision Pro,Negativo,1,12,8.333333333333332
2025-06-23,Apple Vision Pro,Neutro,2,12,16.666666666666664
2025-06-23,Apple Vision Pro,Positivo,9,12,75.0
2025-06-23,Meta Quest 3,Negativo,1,11,9.090909090909092
2025-06-23,Meta Quest 3,Neutro,3,11,27.27272727272727
2025-06-23,Meta Quest 3,Positivo,7,11,63.63636363636363
2025-06-30,Apple Vision Pro,Negativo,2,11,18.181818181818183
2025-06-30,Apple Vision Pro,Neutro,3,11,27.27272727272727
2025-06-30,Apple Vision Pro,Positivo,6,11,54.54545454545454
2025-06-30,Meta Quest 3,Negativo,3,9,33.33333333333333
2025-06-30,Meta Quest 3,Positivo,6,9,66.66666666666666
2025-07-07,Apple Vision Pro,Negativo,3,11,27.27272727272727
2025-07-07,Apple Vision Pro,Neutro,4,11,36.36363636363637
2025-07-07,Apple Vision Pro,Positivo,4,11,36.36363636363637
2025-07-07,Meta Quest 3,Negativo,2,13,15.384615384615385
2025-07-07,Meta Quest 3,Neutro,4,13,30.76923076923077
2025-07-07,Meta Quest 3,Positivo,7,13,53.84615384615385
2025-07-14,Apple Vision Pro,Negativo,3,14,21.428571428571427
2025-07-14,Apple Vision Pro,Neutro,5,14,35.714285714285715
2025-07-14,Apple Vision Pro,Positivo,6,14,42.857142857142854
2025-07-14,Meta Quest 3,Negativo,5,16,31.25
2025-07-14,Meta Quest 3,Neutro,2,16,12.5
2025-07-14,Meta Quest 3,Positivo,9,16,56.25
2025-07-21,Apple Vision Pro,Negativo,2,14,14.285714285714285
2025-07-21,Apple Vision Pro,Neutro,4,14,28.57142857142857
2025-07-21,Apple Vision Pro,Positivo,8,14,57.14285714285714
2025-07-21,Meta Quest 3,Negativo,4,17,23.52941176470588
2025-07-21,Meta Quest 3,Neutro,2,17,11.76470588235294
2025-07-21,Meta Quest 3,Positivo,11,17,64.70588235294117
2025-07-28,Apple Vision Pro,Negativo,2,8,25.0
2025-07-28,Apple Vision Pro,Positivo,6,8,75.0
2025-07-28,Meta Quest 3,Neutro,3,11,27.27272727272727
2025-07-28,Meta Quest 3,Positivo,8,11,72.72727272727273
2025-08-04,Apple Vision Pro,Neutro,2,7,28.57142857142857
2025-08-04,Apple Vision Pro,Positivo,5,7,71.42857142857143
2025-08-04,Meta Quest 3,Neutro,2,10,20.0
2025-08-04,Meta Quest 3,Positivo,8,10,80.0
2025-08-11,Apple Vision Pro,Neutro,6,12,50.0
2025-08-11,Apple Vision Pro,Positivo,6,12,50.0
2025-08-11,Meta Quest 3,Positivo,2,2,100.0
2025-08-18,Apple Vision Pro,Neutro,2,8,25.0
2025-08-18,Apple Vision Pro,Positivo,6,8,75.0
2025-08-18,Meta Quest 3,Negativo,2,18,11.11111111111111
2025-08-18,Meta Quest 3,Neutro,5,18,27.77777777777778
2025-08-18,Meta Quest 3,Positivo,11,18,61.111111111111114
2025-08-25,Apple Vision Pro,Neutro,2,4,50.0
2025-08-25,Apple Vision Pro,Positivo,2,4,50.0
2025-08-25,Meta Quest 3,Neutro,5,12,41.66666666666667
2025-08-25,Meta Quest 3,Positivo,7,12,58.333333333333336
2025-09-01,Apple Vision Pro,Negativo,1,3,33.33333333333333
2025-09-01,Apple Vision Pro,Positivo,2,3,66.66666666666666
2025-09-01,Meta Quest 3,Negativo,2,9,22.22222222222222
2025-09-01,Meta Quest 3,Neutro,1,9,11.11111111111111
2025-09-01,Meta Quest 3,Positivo,6,9,66.66666666666666
